dataset,method,seed,head,m,documents,kernel_nmse,output_nmse,negative_kernel_fraction,nonpositive_denominator_fraction,invalid_output_rows,row_l1,denominator_nmse,near_cancellation_fraction
official,favor_plus,1120,"[27, 6]",64,20,0.9999927385469899,3.6289904384219556,0.0,0.0,0,1.59176099477084,0.999928895864262,0.0
official,favor_plus,1157,"[14, 0]",64,20,0.9999979256308106,1.6558977114648838,0.0,0.0,0,0.41017063302763734,0.9999982481250848,0.0
official,favor_plus,1157,"[14, 6]",64,20,1.0000597199852619,0.8055540418823012,0.0,0.0,0,0.6115342979415427,0.9999920262547771,0.0
official,favor_plus,1157,"[27, 0]",64,20,1.1279144330502286,1.7895950515521326,0.0,0.0,0,1.6652338839815286,1.008352184506705,0.0
official,favor_plus,1157,"[27, 6]",64,20,0.9999999250165794,2.356019375519172,0.0,0.0,0,1.5922754489332125,0.9999993397965989,0.0
official,centered_favor_plus,1009,"[14, 0]",64,20,1.1962080552084922,1.364200200880794,0.0,0.0,0,0.31073883116998946,1.1006429790369805,0.0
official,centered_favor_plus,1009,"[14, 6]",64,20,1.0083087500330745,1.8918696733201332,0.0,0.0,0,1.1684721743655835,1.0039048181431585,0.0
official,centered_favor_plus,1009,"[27, 0]",64,20,216.9835451309578,0.48406174248598366,0.0,0.0,0,1.206334080050355,48.915745603193244,0.0
official,centered_favor_plus,1009,"[27, 6]",64,20,2.232962815817672,0.8496043556419189,0.0,0.0,0,1.2896037454627778,1.308940031002464,0.0
official,centered_favor_plus,1046,"[14, 0]",64,20,1.0712809952423084,1.5351969035030908,0.0,0.0,0,0.36723458233987005,1.0355301744860868,0.0
official,centered_favor_plus,1046,"[14, 6]",64,20,1.000354503313464,1.7685240351633396,0.0,0.0,0,1.109243490311845,1.000443914256817,0.0
official,centered_favor_plus,1046,"[27, 0]",64,20,21.12050792976399,0.6819790537461003,0.0,0.0,0,1.3053821442740878,3.4361406685244806,0.0
official,centered_favor_plus,1046,"[27, 6]",64,20,17.8644186231836,1.2143184600627501,0.0,0.0,0,1.3208568358496422,3.2231901532892615,0.0
