dataset,head,method,m,realizations,mean,median,minimum,maximum,std
official,"[27, 6]",favor_plus,640,1,1.000671208887512,1.000671208887512,1.000671208887512,1.000671208887512,
official,"[27, 6]",centered_favor_plus,16,5,7.0668837453069235,2.8361578143696473,1.0951255639734947,18.60845716362743,7.78613702171589
official,"[27, 6]",centered_favor_plus,32,5,5.912442307010976,1.7089811584474852,1.0276540132514274,21.6608868614506,8.864961854535128
official,"[27, 6]",centered_favor_plus,64,5,147.6605277530555,25.758948230953624,2.401056089711723,649.5353520261041,281.1848803744924
official,"[27, 6]",centered_favor_plus,128,5,68.45126168935565,22.301624548333027,4.298576927259923,164.19781655746127,78.03751671260797
official,"[27, 6]",centered_favor_plus,640,1,14.385326381651653,14.385326381651653,14.385326381651653,14.385326381651653,
official,"[27, 6]",sderf,16,5,115.61495349834223,10.852466755696287,2.750076677233522,497.28004890654927,214.7337912439108
official,"[27, 6]",sderf,32,5,20105.797588497484,125.25047909024204,2.061071172900396,99045.52899796811,44132.06479260272
official,"[27, 6]",sderf,64,5,5401.09138106734,330.3203100361193,1.8508609132565705,24763.68302302142,10851.342011814862
official,"[27, 6]",sderf,128,5,1621.787556881389,589.1257895783839,10.920006873286335,6283.233627438282,2620.3905368694986
official,"[27, 6]",sderf,640,1,324.6580269419066,324.6580269419066,324.6580269419066,324.6580269419066,
official,"[27, 6]",aderf,16,5,1.9450452291126077,1.0002237848050215,1.000007082576192,4.812859185652804,1.6510813498506587
