dataset,n,head,method,seed,m,log_nmse,nmse,log_cross_over_energy,log_prediction_energy_ratio
internal,131072,"[14, 6]",favor_plus,1083,16,1.6960634018630059,5.4524410193689326,-3.8987288165070506,1.5025153635152524
internal,131072,"[14, 6]",favor_plus,1083,32,0.7433436912894212,2.1029554054511346,-4.590665911538025,0.1162241366604686
internal,131072,"[14, 6]",favor_plus,1083,64,1.3549385547140387,3.8765227552658454,-5.212015933318879,1.0603647912020282
internal,131072,"[14, 6]",favor_plus,1083,128,0.8648148043083563,2.3745662858081666,-4.9648993642646815,0.3282410184446025
internal,131072,"[14, 6]",favor_plus,1120,16,1.411687709513922,4.102874023643036,-4.3891525405542815,1.1402967940701583
internal,131072,"[14, 6]",favor_plus,1120,32,0.5709314940218025,1.76991494900531,-5.049686373325601,-0.24495771346543016
internal,131072,"[14, 6]",favor_plus,1120,64,4.629957689501408,102.5097267810862,-4.781714775439726,4.620319749743311
internal,131072,"[14, 6]",favor_plus,1120,128,3.272358444773409,26.373466416860158,-5.45219969064423,3.2340418430561026
internal,131072,"[14, 6]",favor_plus,1157,16,0.007823917424300952,1.0078546042444079,-6.835523104735875,-4.604728882870829
internal,131072,"[14, 6]",favor_plus,1157,32,0.32582907464103483,1.3851785864901776,-5.015737675587953,-0.9201881636604181
internal,131072,"[14, 6]",favor_plus,1157,64,0.08884437097962941,1.0929105544913345,-5.696507490047148,-2.306333129094403
internal,131072,"[14, 6]",favor_plus,1157,128,2.027062327483239,7.591751488872631,-5.730806994596598,1.8868030081393332
internal,131072,"[14, 6]",centered_favor_plus,1009,16,5.212228618125536,183.5025599586287,-6.107297728254253,5.206788600106394
internal,131072,"[14, 6]",centered_favor_plus,1009,32,4.000697761550543,54.63625981719295,-6.47078339576687,3.9822830494356207
internal,131072,"[14, 6]",centered_favor_plus,1009,64,3.1195057864533715,22.635190260773577,-3.878103393894614,3.076231968412804
internal,131072,"[14, 6]",centered_favor_plus,1009,128,4.079349687021832,59.10701928704414,-4.081284921367059,4.062867496633077
internal,131072,"[14, 6]",centered_favor_plus,1046,16,0.05264963344322154,1.054060272946837,-7.643153845121219,-2.900078485304908
internal,131072,"[14, 6]",centered_favor_plus,1046,32,0.13886112706629364,1.1489645288489585,-5.582353085721234,-1.8547508587109238
internal,131072,"[14, 6]",centered_favor_plus,1046,64,2.619315660120951,13.726326897291877,-5.68612849526936,2.5442058683255606
internal,131072,"[14, 6]",centered_favor_plus,1046,128,7.360824740463967,1573.1334549000521,-1.2316606475471499,7.36056002042845
internal,131072,"[14, 6]",centered_favor_plus,1083,16,1.4342924703489401,4.196674686339795,-4.748894616102222,1.1675154005477832
internal,131072,"[14, 6]",centered_favor_plus,1083,32,0.5941394817527117,1.811471469823757,-5.2255328715213505,-0.19573942650302278
internal,131072,"[14, 6]",centered_favor_plus,1083,64,8.059289044175335,3163.0405526707773,-2.155445582624619,8.05904611646197
internal,131072,"[14, 6]",centered_favor_plus,1083,128,8.456931871343794,4707.592318805003,-2.2787606493826917,8.456762943150904
internal,131072,"[14, 6]",centered_favor_plus,1120,16,0.8548197780696585,2.3509506495290395,-8.0153352578981,0.30129748397748735
internal,131072,"[14, 6]",centered_favor_plus,1120,32,2.7277737851399024,15.298790685939835,-5.926675103826222,2.660547982213542
internal,131072,"[14, 6]",centered_favor_plus,1120,64,9.361379402698844,11630.420515677028,-4.336117737941274,9.361295668297752
internal,131072,"[14, 6]",centered_favor_plus,1120,128,7.9754412666372865,2908.641075229977,-4.812084950977072,7.975102997119238
internal,131072,"[14, 6]",centered_favor_plus,1157,16,6.659425183544515,780.1023925315573,-5.132193241699499,6.658157632980055
internal,131072,"[14, 6]",centered_favor_plus,1157,32,5.285776446122043,197.5074778432824,-5.2787904248902375,5.280752376534741
internal,131072,"[14, 6]",centered_favor_plus,1157,64,3.923481972973118,50.57624365045961,-5.617544267091848,3.9036583340407436
internal,131072,"[14, 6]",centered_favor_plus,1157,128,3.020036988253294,20.492049635297633,-4.86458409608646,2.9707979667813387
internal,131072,"[14, 6]",sderf,1009,16,7.976688884683807,2912.2722129917825,-4.924876033078812,7.9763504412117054
internal,131072,"[14, 6]",sderf,1009,32,6.798010379088784,896.0626918311391,-5.214614902792109,6.796905910298639
internal,131072,"[14, 6]",sderf,1009,64,5.732284261009178,308.67355464978783,-5.576447688513573,5.7290639435314485
internal,131072,"[14, 6]",sderf,1009,128,10.93399032372324,56049.48967956863,-4.992770796657428,10.933972724365619
internal,131072,"[14, 6]",sderf,1046,16,7.629354904236846,2057.722163736645,-6.966227579175941,7.628869729047301
internal,131072,"[14, 6]",sderf,1046,32,6.732899868830796,839.5784065081577,-3.77376075439493,6.731762855987446
internal,131072,"[14, 6]",sderf,1046,64,5.622685517992994,276.63128488676983,-3.951708413573046,5.6192035135121525
internal,131072,"[14, 6]",sderf,1046,128,5.789179144208093,326.74470398212407,-4.462862148971984,5.786184742889523
internal,131072,"[14, 6]",sderf,1083,16,3.2710102258770983,26.33793316975571,-8.412325781980657,3.2323201395000662
internal,131072,"[14, 6]",sderf,1083,32,2.607369114754661,13.563320331652639,-7.611872493958726,2.5308602090052386
internal,131072,"[14, 6]",sderf,1083,64,2.3155179265081727,10.130168242945098,-4.375958430727321,2.214335175795311
