dataset,factor2,head,head_index,idiv_per_mass,logcosh,m,method,output_nmse,row_l1,seed_count,seed_max,seed_mean,seed_median,seed_min,source
internal,0.027898406982421874,L14H6,1,7.590434385556698,5.478276887797127,32,balanced_sderf_sobol,,,10,845.4506036433584,99.39784134348106,2.7932570814284308,1.0732856664846535,product
internal,0.10984277725219727,L27H0,2,5.440157114840469,2.1964873043624835,32,balanced_sderf_sobol,,,10,81910.94937306583,8245.12956585101,69.21614712471181,4.9214990234492815,product
internal,0.11467828750610351,L27H6,3,3.360990768105009,2.2137954225696705,32,balanced_sderf_sobol,,,10,208.6237374819686,39.0899817026531,30.35648751697329,2.231553891963177,product
internal,0.1004323959350586,L14H0,0,9.731076715876924,3.359576804359392,32,balanced_sderf_sobol_mass,,,10,263230.84194836835,28333.133806644026,2000.9963000120295,21.979618230225867,product
internal,0.08013296127319336,L14H6,1,6.9838389197078925,3.702313336108454,32,balanced_sderf_sobol_mass,,,10,10459.807446299896,1889.1130787020907,278.39223218969573,3.1542644531077038,product
internal,0.1333308219909668,L27H0,2,6.81291711483258,2.0891921053342917,32,balanced_sderf_sobol_mass,,,10,252926.3868307486,25374.206539044815,84.4409055159275,2.633330600037507,product
internal,0.11748905181884765,L27H6,3,3.40921575591763,2.2353019544531167,32,balanced_sderf_sobol_mass,,,10,246.8628647663696,51.917820124588864,13.13672933595732,2.449250153702451,product
internal,0.00012407302856445312,L14H0,0,18.132364457681398,19.230809687270078,32,favor_orf,,,10,0.9999990400414507,0.9999529494217431,0.9999686962271449,0.9998603912911337,product
internal,0.0007706642150878906,L14H6,1,15.94460486672499,16.41959825450315,32,favor_orf,,,10,1.032924360842642,1.0077282312268612,0.9997030043636719,0.9976614255670628,product
internal,0.0008815765380859375,L27H0,2,16.734041735568958,12.597167870629065,32,favor_orf,,,10,1.2291454521998215,1.0229189878304576,0.9999999448114936,0.9999857707262539,product
internal,0.0026540756225585938,L27H6,3,16.34680028809289,12.531603256993838,32,favor_orf,,,10,164.22975287134227,17.322980150819493,0.9999982174255976,0.9999882587215718,product
internal,0.06548468271891277,L14H0,0,6.18475710120218,4.170068515025542,32,learned_shared,,,3,8973.782500991942,4613.43554865496,2485.5982782021642,2380.925866770776,product
internal,0.06968307495117188,L14H6,1,5.708293452528665,3.9116959279732058,32,learned_shared,,,3,16178.402501017688,8090.581994600419,4532.638646939256,3560.7048358443135,product
internal,0.15689404805501303,L27H0,2,2.422587079754915,1.7929551354527122,32,learned_shared,,,3,39.21038535438691,21.071662408995536,22.26969434906754,1.7349075235321636,product
internal,0.14187208811442056,L27H6,3,2.5106774641893352,1.9671330986489715,32,learned_shared,,,3,61.45007335985028,41.33707711313075,46.26457677876417,16.296581200777805,product
internal,0.06950441996256511,L14H0,0,7.271021966634323,4.074151356329879,32,learned_untied,,,3,6403.440877105041,5041.341621826626,5418.107344340997,3302.47664403384,product
internal,0.07288932800292969,L14H6,1,8.147683340218824,3.8263374674064927,32,learned_untied,,,3,191353.71347139016,71026.4423520863,12904.552159783481,8821.061425085278,product
internal,0.15150864919026694,L27H0,2,2.3555348690110898,1.7644193654399782,32,learned_untied,,,3,37.00940941981287,15.8765173728493,8.781938441188979,1.8382042575460495,product
internal,0.1380910873413086,L27H6,3,2.5404155405219324,1.9152430876363002,32,learned_untied,,,3,96.52776441023825,59.76237798558566,66.76770610368371,15.991663442835046,product
internal,0.002635765075683594,L14H0,0,12.522951800337259,14.902719004439444,32,sderf_orf,,,10,34.52354396706501,5.580263358497147,1.1018341180415185,0.9998348772977043,product
internal,0.0021078109741210936,L14H6,1,15.73067191885178,15.251913973072055,32,sderf_orf,,,10,7.2464705800836695,2.1060722742216926,1.0442929850810057,0.9997879431840383,product
internal,0.03827314376831055,L27H0,2,7.27868687444423,5.215726048297374,32,sderf_orf,,,10,433.5826013551316,65.68276766730399,12.936172372844377,3.2034869653809035,product
internal,0.02924175262451172,L27H6,3,7.4743214416677,6.000612552122101,32,sderf_orf,,,10,851.1308267938055,164.4084442360276,31.44948360461644,4.119772562867331,product
internal,,L14H0,0,,,64,SVD,,,1,1.2830191956682384e-05,1.2830191956682384e-05,1.2830191956682384e-05,1.2830191956682384e-05,product
internal,,L14H6,1,,,64,SVD,,,1,0.00034648655075953955,0.00034648655075953955,0.00034648655075953955,0.00034648655075953955,product
