dataset,samples_per_marginal,pairs_per_head,head,m,signed_floor_lower,signed_floor_upper,compression_residual_fraction,positive_nmse,partition_projection_nmse,mean_estimation_gap,positive_idiv_per_mass,train_galerkin_signed_nmse,train_anchor_nystrom_signed_nmse,log_raw_second_moment
official,2560,6553600,L27H6,128,3.2853608489129586e-05,0.08215252972466676,0.08211967611617763,0.4751059794936513,0.3958341779821158,0.07927180151153558,0.5754652475370285,0.15551054582337503,0.2178389812970018,19.110928694948647
official,10240,104857600,L14H0,16,0.0022515079108200243,0.20146919865935053,0.19921769074853052,0.3352531492315558,0.3280860732203286,0.007167076011227868,0.5357659240115711,0.22040622200832688,0.2545400761298962,0.4289308358353967
official,10240,104857600,L14H0,32,0.000502253330765668,0.19971994407929636,0.19921769074853068,0.26483074234610715,0.2510949341414064,0.013735808204700892,0.45439020328740803,0.21895665482177445,0.6022442162623253,0.4289308358353967
official,10240,104857600,L14H0,64,0.00014560976680528444,0.19936330051533582,0.19921769074853055,0.2541343343327886,0.23337984518924573,0.020754489143543192,0.393278320052817,0.21968256317139537,0.6073342226517174,0.4289308358353967
official,10240,104857600,L14H0,128,1.473622148501007e-05,0.19923242697001556,0.19921769074853055,0.2512681949371369,0.22835012075405312,0.022918074183083944,0.3370902305667365,0.21968807177811236,4.8354312125618755,0.4289308358353967
official,10240,104857600,L14H6,16,0.0018330576362015378,0.8425316913089114,0.8406986336727098,0.9457748284436219,0.9457304219883617,4.440645526029204e-05,1.215497482489225,0.9439715268360386,0.9448893612268064,0.650122430825701
official,10240,104857600,L14H6,32,0.0006803466865770239,0.8413789803592868,0.8406986336727098,0.9456397524837092,0.9455031509290065,0.00013660155470274226,1.1491273593952358,0.9433408405313458,0.9441099174157679,0.650122430825701
official,10240,104857600,L14H6,64,0.0001818219285909506,0.8408804556013008,0.8406986336727098,0.9455909776172428,0.9449571067752552,0.0006338708419875112,1.0741539726627314,0.9426877497351346,0.9449312230019865,0.650122430825701
official,10240,104857600,L14H6,128,1.991283917893198e-05,0.8407185465118888,0.8406986336727099,0.9455365854293832,0.9431757523258913,0.002360833103491881,1.012499540023832,0.9422941246728548,0.9460375667082264,0.650122430825701
official,10240,104857600,L27H0,16,0.03347158500263937,0.27245187515969915,0.2389802901570598,0.7124067325599851,0.7022262761258344,0.01018045643415067,1.0525493119632912,0.4378588618933074,0.5594919861322353,12.367932512213484
