source,m,method,layer,head,relative_error,log_absolute_mse
same_context,32,SVD,14,0,0.0013290016987066837,-6.191490642497644
same_context,32,SVD,14,3,1.1279252995751656e-05,4.055957159561354
same_context,32,SVD,14,6,0.0013318190333778844,-8.224338859847194
same_context,32,SVD,14,9,2.9608694394482153e-05,-11.989745589798389
same_context,32,SVD,27,0,0.0075945083384280415,5.695372819915034
same_context,32,SVD,27,3,0.016202952477340334,6.202246109809375
same_context,32,SVD,27,6,0.010512588811917325,10.350245816864332
same_context,32,SVD,27,9,0.026286064153832223,7.799473208328864
same_context,32,NMF,0,0,2.1630553347804973e-07,4177.706884777181
same_context,32,NMF,0,3,5.58824745859809e-15,48480.989344627895
same_context,32,NMF,0,6,2.711284252884969e-38,8247.658984487138
same_context,32,NMF,0,9,5.887257751855524e-06,232.19746988578714
same_context,32,NMF,7,0,0.0003776246544086025,-7.833739083386355
same_context,32,NMF,7,3,4.6951137887889215e-05,-11.540481650028827
same_context,32,NMF,7,6,2.976452078847966e-06,29.656502935615826
same_context,32,NMF,7,9,0.0003449333767265533,14.503032714467965
same_context,32,NMF,14,0,0.0013318779124725862,-6.1893287897975
same_context,32,NMF,14,3,1.4242582317964976e-05,4.28922837156219
same_context,32,NMF,14,6,0.0016126454979934269,-8.033008564977116
same_context,32,NMF,14,9,3.874194581676962e-05,-11.720890753235885
same_context,32,NMF,27,0,0.010002440674296207,5.9707765515075995
same_context,32,NMF,27,3,0.021061571807422307,6.464502771140383
same_context,32,NMF,27,6,0.013741674193443324,10.618105470891818
same_context,32,NMF,27,9,0.03388888440399262,8.053521356593615
same_context,32,FAVOR_plus,0,0,1.0,4193.0534586990725
same_context,32,FAVOR_plus,0,3,1.0,48513.80745529846
same_context,32,FAVOR_plus,0,6,1.0,8334.159795604219
same_context,32,FAVOR_plus,0,9,0.9999999999999432,244.240190131437
same_context,32,FAVOR_plus,7,0,0.9974775889786804,0.04534515238256276
same_context,32,FAVOR_plus,7,3,1.0075604486980925,-1.5665465218422732
