dataset,method,seeds,raw_nmse,raw_nmse_seed_range,balanced,balanced_seed_range,directional_kl,directional_kl_seed_range,mass,mass_seed_range,output_nmse,output_nmse_seed_range
swde3,gauge_calibrated,3,0.7443662081638053,"[0.7085625738217862, 0.7647011189191351]",0.44896974504256537,"[0.4396203177993939, 0.4603159450767803]",0.32083851266134156,"[0.31687853528806337, 0.32417410230245924]",0.12813123238122373,"[0.11815741740589171, 0.136141842774321]",0.2921148298723961,"[0.2876187216282729, 0.29563243670267597]"
swde3,global_bal,3,1.0317614980776417,"[0.9532473633866896, 1.180838660342163]",2.0455155223285595,"[1.6902061876531227, 2.3177776307090205]",0.3208385126613416,"[0.31687853528806337, 0.32417410230245924]",1.7246770096672177,"[1.3733276523650593, 1.9963147303155184]",0.2921148298723962,"[0.28761872162827284, 0.29563243670267597]"
swde3,global_raw,3,1.3368712951528687,"[1.0881005281943688, 1.604059988041191]",2.301081466344707,"[1.9769114381881265, 2.6595642416432126]",0.3208385126613416,"[0.3168785352880634, 0.32417410230245924]",1.9802429536833654,"[1.6600329029000631, 2.3381013412497107]",0.2921148298723962,"[0.28761872162827284, 0.29563243670267597]"
swde3,kl_control,3,0.9163435905671276,"[0.9161650543503759, 0.9164429804826348]",1.4063798629673958,"[1.399228220564079, 1.419307701791673]",0.32691274297108525,"[0.3247974419273907, 0.329583464065413]",1.0794671199963108,"[1.071020202481023, 1.0945102598642826]",0.2810911107440595,"[0.2787835226893839, 0.285112920853527]"
swde3,raw,3,0.8013860427514891,"[0.7939797499230689, 0.8084734351787853]",0.6477032189367864,"[0.6407258445237111, 0.6604597633472661]",0.4817821687600318,"[0.47423669078469943, 0.4916776990461366]",0.16592105017675451,"[0.16129372807445153, 0.16878206430112946]",0.336682769470672,"[0.33441121830375387, 0.34054165381271195]"
swde3,sderf,5,203.98620177890606,"[7.39398071452297, 982.3412503760178]",8.759602939966618,"[8.291124420785021, 9.871618800939057]",2.1764140669373946,"[1.9470281444109823, 2.4218132075935106]",6.58318887302922,"[6.28339939508597, 7.449805593345543]",2.124785786296252,"[1.1802441884016082, 3.265791933743164]"
test,balanced,3,0.9262633627093355,"[0.9260681002374321, 0.926631013099428]",0.39801290791557786,"[0.3938274832920144, 0.4011900908240249]",0.3564206849489768,"[0.3525483448941687, 0.3591911268049707]",0.041592222966601144,"[0.0412791383978457, 0.04199896401905421]",0.27273023414183234,"[0.2711337431852161, 0.2742185070794412]"
test,exp_control,3,44279009330.581345,"[1653262391.851473, 122584662383.47055]",7202.14598881459,"[4239.571084527793, 9422.205497682853]",0.2570398110400616,"[0.25631473021791235, 0.25793124648482935]",7201.888949003552,"[4239.313153281309, 9421.94918295264]",0.20970316440815231,"[0.20931283713338675, 0.2100431703744285]"
test,factorized,3,0.8684941313521355,"[0.8656710755032545, 0.8702055367698169]",0.35170530679179496,"[0.3493338882604988, 0.3557781429959565]",0.32344050112838846,"[0.3208755732251139, 0.3273196379673243]",0.028264805663406473,"[0.027877596926202338, 0.02845850502863214]",0.2437454434300613,"[0.2389962238681826, 0.2526207800919007]"
test,factorized_both,3,0.8556280784867288,"[0.8494649309746377, 0.8587158081129214]",0.31016444282862893,"[0.30991383368275377, 0.3103821087368051]",0.2829290304205845,"[0.282724312895709, 0.28319516953774077]",0.027235412408044456,"[0.02704622485445004, 0.027473073170619]",0.22098714016372623,"[0.21985328281736374, 0.22190552866608965]"
test,half,3,0.9010502247103439,"[0.9004822701997862, 0.9018695450141948]",0.4053257093407517,"[0.4040166769821651, 0.4075886990361319]",0.36317186194601847,"[0.36199108703481525, 0.3651835965014959]",0.04215384739473325,"[0.042025589947349916, 0.04240510253463601]",0.2706058501632594,"[0.2644887503312579, 0.2742257758722]"
test,kl_control,3,0.970308970928082,"[0.9700939421342536, 0.9705395315217812]",1.1688989229666464,"[1.1656829868785696, 1.174476090743977]",0.26824659247767485,"[0.2678052475686113, 0.26857278968211773]",0.9006523304889714,"[0.8971101971964519, 0.9066708431753658]",0.21535410718950906,"[0.21370489952556204, 0.2178512065478411]"
test,logcosh,1,0.9913323698624286,"[0.9913323698624286, 0.9913323698624286]",1.58369193734344,"[1.58369193734344, 1.58369193734344]",0.45231288742259057,"[0.45231288742259057, 0.45231288742259057]",1.1313790499208496,"[1.1313790499208496, 1.1313790499208496]",0.4393931100125523,"[0.4393931100125523, 0.4393931100125523]"
test,raw,3,0.8819043261271583,"[0.8796196767775241, 0.8860675635018777]",0.5943879806912605,"[0.5922156053010099, 0.5977791621926021]",0.5070885037944824,"[0.5033986967086186, 0.5116899543203448]",0.08729947689677814,"[0.08603874494652604, 0.08977047787155111]",0.3252155622696385,"[0.32329292513788493, 0.327265263539674]"
test,value,3,0.93482574688526,"[0.9345880004250562, 0.9351003807352215]",0.4752908624052142,"[0.46863552084747656, 0.47970226902294655]",0.4102371640180733,"[0.4038351829784661, 0.4139915390007032]",0.06505369838714087,"[0.06465002727016882, 0.06571073002224333]",0.333556944885856,"[0.32988100722581415, 0.338135460458877]"
