folder,objective,method,m,steps,split,metric,layer,head,seeds,documents,mean,seed_std,parameters,training_seconds,feature_pair_ms
fits,raw,kan_positive,64,2000,validation,negative_fraction,14,0,3,12,0.0,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,validation,negative_fraction,14,6,3,12,0.0,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,validation,negative_fraction,27,0,3,12,0.0,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,validation,negative_fraction,27,6,3,12,0.0,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,validation,nonpositive_denominator_fraction,14,0,3,12,0.0,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,validation,nonpositive_denominator_fraction,14,6,3,12,0.0,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,validation,nonpositive_denominator_fraction,27,0,3,12,0.0,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,validation,nonpositive_denominator_fraction,27,6,3,12,0.0,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,validation,top1_agreement,14,0,3,12,0.8300238715277778,0.00018793954075178857,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,validation,top1_agreement,14,6,3,12,0.8766276041666666,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,validation,top1_agreement,27,0,3,12,0.02880859375,0.007752933179566765,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,validation,top1_agreement,27,6,3,12,0.012803819444444446,0.008596051354313525,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test,kernel_nmse,14,0,3,20,0.9207786152760188,0.003977240941953954,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test,kernel_nmse,14,6,3,20,0.8143553343911966,0.0024786790565459594,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test,kernel_nmse,27,0,3,20,0.8978369762500127,0.0026892447132656648,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test,kernel_nmse,27,6,3,20,0.8938559581836065,0.01320553181319507,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test,attention_nmse,14,0,3,20,0.26712311456600824,0.05491636864507516,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test,attention_nmse,14,6,3,20,0.2582250478367011,0.05865856453232317,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test,attention_nmse,27,0,3,20,0.8614588846762974,0.018321886886097632,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test,attention_nmse,27,6,3,20,0.8716305514176687,0.015350001110385498,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test,output_nmse,14,0,3,20,0.9286268522342046,0.12046258539256603,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test,output_nmse,14,6,3,20,0.7807177528738976,0.10326061264918378,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test,output_nmse,27,0,3,20,0.26476544613639513,0.01167713978397713,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test,output_nmse,27,6,3,20,0.47391428599754964,0.023415350368119443,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test,row_l1,14,0,3,20,0.9751846899588902,0.14469544987855418,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test,row_l1,14,6,3,20,1.0625951647758483,0.10370616571604097,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test,row_l1,27,0,3,20,1.0962825854619345,0.040630542685847,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test,row_l1,27,6,3,20,1.1344288388888042,0.03237093262903954,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test,negative_fraction,14,0,3,20,0.0,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test,negative_fraction,14,6,3,20,0.0,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test,negative_fraction,27,0,3,20,0.0,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test,negative_fraction,27,6,3,20,0.0,0.0,73888,22.641880912085373,2.069538158840603
