loss,training_documents,budget_scale,method,seed,parameters,split,metric,layer,head,value
logcosh,4096,1,kan,47,73856,validation,raw_nmse,14,6,0.9165349042215124
logcosh,4096,1,kan,47,73856,validation,raw_nmse,27,0,0.9705066155275329
logcosh,4096,1,kan,47,73856,validation,raw_nmse,27,6,0.988034188879258
logcosh,4096,1,kan,11,73856,validation,normalized_idiv,14,0,3.4578944051775755
logcosh,4096,1,kan,11,73856,validation,normalized_idiv,14,6,3.326534875229977
logcosh,4096,1,kan,11,73856,validation,normalized_idiv,27,0,1.6122590875777887
logcosh,4096,1,kan,11,73856,validation,normalized_idiv,27,6,2.297563085353511
logcosh,4096,1,kan,29,73856,validation,normalized_idiv,14,0,3.4094353647385045
logcosh,4096,1,kan,29,73856,validation,normalized_idiv,14,6,3.505039100668211
logcosh,4096,1,kan,29,73856,validation,normalized_idiv,27,0,1.6304973225364665
logcosh,4096,1,kan,29,73856,validation,normalized_idiv,27,6,2.1568213128904423
logcosh,4096,1,kan,47,73856,validation,normalized_idiv,14,0,3.3972123870049837
logcosh,4096,1,kan,47,73856,validation,normalized_idiv,14,6,3.3611679644737875
logcosh,4096,1,kan,47,73856,validation,normalized_idiv,27,0,1.7041148133379933
logcosh,4096,1,kan,47,73856,validation,normalized_idiv,27,6,2.15939001654636
logcosh,4096,1,kan,11,73856,test,logcosh,14,0,1.214317268066638
logcosh,4096,1,kan,11,73856,test,logcosh,14,6,1.1900691070892284
logcosh,4096,1,kan,11,73856,test,logcosh,27,0,0.4419234832409182
logcosh,4096,1,kan,11,73856,test,logcosh,27,6,0.4904022810755525
logcosh,4096,1,kan,29,73856,test,logcosh,14,0,1.2298550047615089
logcosh,4096,1,kan,29,73856,test,logcosh,14,6,1.2007346407122985
logcosh,4096,1,kan,29,73856,test,logcosh,27,0,0.445206703727507
logcosh,4096,1,kan,29,73856,test,logcosh,27,6,0.47732306224610327
logcosh,4096,1,kan,47,73856,test,logcosh,14,0,1.228733740798508
logcosh,4096,1,kan,47,73856,test,logcosh,14,6,1.17050893331061
logcosh,4096,1,kan,47,73856,test,logcosh,27,0,0.45537767853548944
logcosh,4096,1,kan,47,73856,test,logcosh,27,6,0.48754506488826743
logcosh,4096,1,kan,11,73856,test,log_mae,14,0,1.761027640604894
logcosh,4096,1,kan,11,73856,test,log_mae,14,6,1.7343435311605147
logcosh,4096,1,kan,11,73856,test,log_mae,27,0,0.8697829430805092
logcosh,4096,1,kan,11,73856,test,log_mae,27,6,0.931730211594267
logcosh,4096,1,kan,29,73856,test,log_mae,14,0,1.7775183298786175
logcosh,4096,1,kan,29,73856,test,log_mae,14,6,1.74600074276493
logcosh,4096,1,kan,29,73856,test,log_mae,27,0,0.8740577287426202
logcosh,4096,1,kan,29,73856,test,log_mae,27,6,0.9156511108816311
logcosh,4096,1,kan,47,73856,test,log_mae,14,0,1.7765172531964168
logcosh,4096,1,kan,47,73856,test,log_mae,14,6,1.7131355237948567
logcosh,4096,1,kan,47,73856,test,log_mae,27,0,0.8872414025071825
logcosh,4096,1,kan,47,73856,test,log_mae,27,6,0.9282057531807514
logcosh,4096,1,kan,11,73856,test,factor2,14,0,0.25780487060546875
logcosh,4096,1,kan,11,73856,test,factor2,14,6,0.26265716552734375
logcosh,4096,1,kan,11,73856,test,factor2,27,0,0.50634765625
logcosh,4096,1,kan,11,73856,test,factor2,27,6,0.4753265380859375
logcosh,4096,1,kan,29,73856,test,factor2,14,0,0.25592041015625
logcosh,4096,1,kan,29,73856,test,factor2,14,6,0.25984954833984375
logcosh,4096,1,kan,29,73856,test,factor2,27,0,0.505096435546875
logcosh,4096,1,kan,29,73856,test,factor2,27,6,0.48230743408203125
logcosh,4096,1,kan,47,73856,test,factor2,14,0,0.25484466552734375
logcosh,4096,1,kan,47,73856,test,factor2,14,6,0.26575469970703125
logcosh,4096,1,kan,47,73856,test,factor2,27,0,0.49691009521484375
logcosh,4096,1,kan,47,73856,test,factor2,27,6,0.47599029541015625
logcosh,4096,1,kan,11,73856,test,factor10,14,0,0.7162704467773438
logcosh,4096,1,kan,11,73856,test,factor10,14,6,0.7225189208984375
logcosh,4096,1,kan,11,73856,test,factor10,27,0,0.9494857788085938
logcosh,4096,1,kan,11,73856,test,factor10,27,6,0.9365921020507812
logcosh,4096,1,kan,29,73856,test,factor10,14,0,0.71197509765625
logcosh,4096,1,kan,29,73856,test,factor10,14,6,0.72052001953125
logcosh,4096,1,kan,29,73856,test,factor10,27,0,0.9482269287109375
logcosh,4096,1,kan,29,73856,test,factor10,27,6,0.9408111572265625
logcosh,4096,1,kan,47,73856,test,factor10,14,0,0.7118759155273438
logcosh,4096,1,kan,47,73856,test,factor10,14,6,0.7275848388671875
logcosh,4096,1,kan,47,73856,test,factor10,27,0,0.9456939697265625
logcosh,4096,1,kan,47,73856,test,factor10,27,6,0.9374313354492188
logcosh,4096,1,kan,11,73856,test,raw_nmse,14,0,0.9712557317344687
logcosh,4096,1,kan,11,73856,test,raw_nmse,14,6,0.9975782543500663
logcosh,4096,1,kan,11,73856,test,raw_nmse,27,0,0.9915419615668883
logcosh,4096,1,kan,11,73856,test,raw_nmse,27,6,0.9871126233256041
logcosh,4096,1,kan,29,73856,test,raw_nmse,14,0,0.9667985472085082
logcosh,4096,1,kan,29,73856,test,raw_nmse,14,6,0.9981534838813126
logcosh,4096,1,kan,29,73856,test,raw_nmse,27,0,0.9918842440127051
logcosh,4096,1,kan,29,73856,test,raw_nmse,27,6,0.9853672860505182
logcosh,4096,1,kan,47,73856,test,raw_nmse,14,0,0.9677208500950982
logcosh,4096,1,kan,47,73856,test,raw_nmse,14,6,0.9979445849159215
logcosh,4096,1,kan,47,73856,test,raw_nmse,27,0,0.9928433204251366
logcosh,4096,1,kan,47,73856,test,raw_nmse,27,6,0.9851980003293536
logcosh,4096,1,kan,11,73856,test,normalized_idiv,14,0,5.458830012938234
logcosh,4096,1,kan,11,73856,test,normalized_idiv,14,6,7.528071731377017
logcosh,4096,1,kan,11,73856,test,normalized_idiv,27,0,2.355425538711954
logcosh,4096,1,kan,11,73856,test,normalized_idiv,27,6,2.3806881223919816
logcosh,4096,1,kan,29,73856,test,normalized_idiv,14,0,5.402722779261672
logcosh,4096,1,kan,29,73856,test,normalized_idiv,14,6,7.530014259174854
logcosh,4096,1,kan,29,73856,test,normalized_idiv,27,0,2.312121770733621
logcosh,4096,1,kan,29,73856,test,normalized_idiv,27,6,2.218884477424984
logcosh,4096,1,kan,47,73856,test,normalized_idiv,14,0,5.435258247731401
logcosh,4096,1,kan,47,73856,test,normalized_idiv,14,6,7.259964851645602
logcosh,4096,1,kan,47,73856,test,normalized_idiv,27,0,2.4605331563375605
logcosh,4096,1,kan,47,73856,test,normalized_idiv,27,6,2.2589985062781976
logcosh,4096,1,kan,11,73856,test_block,attention_nmse,14,0,0.07607043534517288
logcosh,4096,1,kan,11,73856,test_block,attention_nmse,14,6,0.158019557595253
logcosh,4096,1,kan,11,73856,test_block,attention_nmse,27,0,0.6535578966140747
logcosh,4096,1,kan,11,73856,test_block,attention_nmse,27,6,0.657686710357666
logcosh,4096,1,kan,29,73856,test_block,attention_nmse,14,0,0.08117508888244629
logcosh,4096,1,kan,29,73856,test_block,attention_nmse,14,6,0.14614741504192352
logcosh,4096,1,kan,29,73856,test_block,attention_nmse,27,0,0.6530166864395142
logcosh,4096,1,kan,29,73856,test_block,attention_nmse,27,6,0.6535741090774536
logcosh,4096,1,kan,47,73856,test_block,attention_nmse,14,0,0.07951284945011139
logcosh,4096,1,kan,47,73856,test_block,attention_nmse,14,6,0.14666715264320374
logcosh,4096,1,kan,47,73856,test_block,attention_nmse,27,0,0.6596260070800781
logcosh,4096,1,kan,47,73856,test_block,attention_nmse,27,6,0.6514979600906372
logcosh,4096,1,kan,11,73856,test_block,output_nmse,14,0,0.8571527004241943
logcosh,4096,1,kan,11,73856,test_block,output_nmse,14,6,0.488993763923645
logcosh,4096,1,kan,11,73856,test_block,output_nmse,27,0,0.22261691093444824
logcosh,4096,1,kan,11,73856,test_block,output_nmse,27,6,0.3630433678627014
logcosh,4096,1,kan,29,73856,test_block,output_nmse,14,0,0.8831764459609985
logcosh,4096,1,kan,29,73856,test_block,output_nmse,14,6,0.46685659885406494
logcosh,4096,1,kan,29,73856,test_block,output_nmse,27,0,0.22105064988136292
logcosh,4096,1,kan,29,73856,test_block,output_nmse,27,6,0.3585614562034607
logcosh,4096,1,kan,47,73856,test_block,output_nmse,14,0,0.8751803040504456
logcosh,4096,1,kan,47,73856,test_block,output_nmse,14,6,0.4648057222366333
logcosh,4096,1,kan,47,73856,test_block,output_nmse,27,0,0.22504469752311707
logcosh,4096,1,kan,47,73856,test_block,output_nmse,27,6,0.3588162064552307
